Review Text,Actual Sentiment,Predicted Sentiment,Original Rating
masuk kode otp udah bener tp gagal trs,negative,negative,1
responnya cepat,positive,positive,1
aplikasi mudah layan pindah faskes cepet selesai,positive,positive,5
sesuai butuh,neutral,neutral,5
negara kaku kl ny negara lsg cepat d urus tp kbutuhan rakyat d sulit daftar bpjs sharus ny gk mesti pke rekaplg skrg dompet digital yg d gunakn masyarakat trdaftar d ojk yg d khawatirkn mudahknlah urus org bnyk biar mudah jg urus negara,positive,neutral,1
tolong baik ubah data serta pas ganti faskes masak foto hadap kiri kedip mata senyum sy ganti faskes bayi sy yg umur emang bayi sy ngerti suruh ngadep kiri kedip mata senyum coba aja lu bayi suruh gitubisa ga nyeleneh bikin atur,positive,neutral,1
log out,neutral,neutral,1
abis batalin antre gabisa ngambil antre,neutral,neutral,5
luarbiasa mudah,positive,positive,1
applikasi ruwet,neutral,neutral,1
apk percaya binok,neutral,neutral,5
gabisa batal antri,neutral,neutral,5
sangan bantu,neutral,neutral,5
mudah,positive,positive,2
aplikasi,neutral,neutral,5
moga jkn mudah pasien yg obat layan publik optimalterima kasih,positive,positive,5
jkn ok mantab,neutral,neutral,5
excellent application i like it,neutral,neutral,2
aplikasi kirim kode otp setahunhapus aja,neutral,neutral,5
aplikasi gagal login coba ampe budeg,negative,negative,1
bayar rehab berat bunga nya lintah darat,neutral,neutral,5
keren manfaat,neutral,neutral,5
alhamdulilah mudah ubah data,positive,positive,5
jkn mantap,positive,positive,5
moga lancar,neutral,neutral,5
aplikasi tuju mudahin urus masyarakat sulit daftar tinggal nunggu verifikasi nomor terus ga verifikasi masuk nomor bola ganti nomor kartu tetep ga terima verifikasi nomor gimana solusi daftar obat online gak perintah zonk banget ngurusin kayagini gak becuss,neutral,neutral,1
woi data ko d pake pandawa nama status ngaco,neutral,neutral,5
lihat nomor antri dimanaaa riwayat gak adaaa,neutral,neutral,5
apk gak trouble stiap faskes gga proses,neutral,neutral,1
update versi logout login nya susah munta ampun nyusahin pas pakai untubg d hp nyimoen data lengkap gedeg banget dah,negative,negative,1
buruk aplikasi susah,negative,negative,1
kecewa muas,negative,negative,5
mudah,positive,positive,1
puas aplikasi mobile jkn,positive,positive,1
jkn mntap,neutral,neutral,3
mohon perbaikanya verivikasi wajahhh gabisa trusss posisi pas jaring lancar teranggg nunggu lagiii urgent gabissaaaa aplikasi sampahhh bgtttt sumpah,neutral,neutral,1
bingung banget lihat aplikasi kemarin melalkukan verivikasi otp gak bisaverikasi wajah ngak bisamemasukkkaan no kartu masuk daftar apknyaini apk guna nya apasih memudahkanmalah bikin repot aja perhati baru apknya masyarakat mudah akses kaya gin gak guna gin mudah susah,neutral,neutral,1
ribet login nya susah,negative,negative,4
nomer daftar tuhan daftar aplikasi kecewa data bocor,negative,negative,5
bantu daftar periksa terimakasih,neutral,neutral,4
apk gak gak dukung sulit login,negative,negative,1
bayar tulis bukti lunas akun daftar lg,neutral,neutral,5
pusla cukupjaringan normalmau tambahin nomer hp tetep ga bisamohon baik segerakami butuh kasi habis operasi kontrol ga dapet nomer krn verifikasi nomer telpon wajah gagal,neutral,neutral,2
cepat efisien,positive,positive,1
nyebelin banget pake update mulu,neutral,neutral,5
obat rutin mudah,positive,positive,2
apa login aja susah ampun nik nomor udah gak kocak,negative,negative,5
masuk aplikasi nya baharu,neutral,neutral,5
gak masuk apk jkn yaaa,neutral,neutral,1
verifikasi wajah gagal tolong baik,neutral,neutral,5
gk bsa kirim kode verif no hp yya tulisanny pilih salah mode verif tpi gk pilihanny gmna konsepny,neutral,neutral,1
bikin ribet,neutral,neutral,5
bagus mudah,positive,positive,1
masuk akun beda karna bantu ambil antri online perangkat gabisa tulis perangkat login nik beda masuk akun gabisa gimana tolong baik puas masuk kasi orang udah tua ga ga ngerti hp bantu aplikasi gin,positive,positive,5
daftar mudah,positive,positive,5
bantu layan,neutral,neutral,5
layan burum ambil antre gagal ulang atus ratus kali baik kasih bintang,neutral,neutral,5
great,neutral,neutral,1
apl manfaat,neutral,neutral,1
jelek susah,negative,negative,1
ribet bu,neutral,neutral,5
bantu mudah guna,positive,positive,1
akun apk pas login sandi ubah,neutral,neutral,5
aplikasi bantu gk ribet,neutral,neutral,1
kecewa banget aplikasi berat koneksi internet stabil muncul tanda coba periksa koneksi internet lot masuk aplikasi nya bikin aplikasi mobile jkn lite kecil megabyte aplikasi nya biar ga eror muncul tanda periksa koneksi internet s,negative,negative,1
aplikasi relevan udah bulan ganti alamat aplikasi ganti bulan proses jangka minggu kerja bingung pahal obat rumah,neutral,neutral,2
lebihh gampang bantu,neutral,neutral,5
puas aja inti,positive,positive,1
mudah bagusnpelayanannya,positive,positive,5
kode otp masuk masuk gimana sih perintah ai kemang layan masyarakat tidal,neutral,neutral,1
bantu mudah proses nya simpel bagus oke manfaat,positive,positive,1
good job jkn mobile,neutral,neutral,5
rubah faskes sehat yg deket rumah coba kali verifikasi identifikasi wajah tulis mohon maaf minta proses maaf tidak nyaman haha sampe kali gak hasil rubah alamat alamat surat ubah tp alamat tampil kartu alamat yg hmmmm solusi,positive,positive,1
bikin dongkol buka aplikasi ribet kudung masukin no ktp kalo pasword wajar ga praktis bloon ni aplikasi tambah ga singkron ama paskesmya dah ambil no antri aplikasi pas udah sampe dah tutup jam aplikasi tutup jam nih gimana yg oon aplikasi paskesnya,neutral,neutral,5
mudah layan nya,positive,positive,5
daftar faskes kouta habis kuota tolong tindak susah kalo urgent,negative,negative,1
aplikasi si logout ubah data pribadi aplikasi ya aja ga aplikasi kalo ga mudah langsung kantor bpjs,positive,positive,2
buruksusah login ngecek daftar akun buruk banget,negative,negative,4
aplikasi buruk daftar masuk lupa sandi pasword daftar nya bikin ribet aja,negative,negative,5
jelwk sekalidulu pas knstall daftar ayah menkbggal langsung ubah serta aplkkasi nggan lihat data serta aja nggak diijinkan aplikaai sampah,negative,negative,2
atur ulang sandi aja kode verifikasi gk kirim kirim kacau,neutral,neutral,1
akun susah ulang aplikasi eror,negative,negative,5
aplikasi susah mohon depan mudah serta aplikasi orang keluarga ya kali klau keluarga akun adedeh,neutral,neutral,4
bantu daftar online,neutral,neutral,1
eror sinyal internet nyalahin sinyal bagus pesan eror sinyal internet,positive,positive,1
verifikasi wajah gagalpadahal perangkat aplikasi langsung suksesverifikasi sms berbayarbikin ribet orang jarang pulsapunya nya quota internetini cari duit teruspadahal dgn aplikasi mudahaplikasi sampah,negative,negative,5
banyak atur screenshot kartu aja batas bikin ribet,neutral,neutral,4
kali masuk aplikasi ribet,neutral,neutral,5
apk buruk apk apk apk blank hitam gabisa buka buka getar ga henti henti jaring internet bagus hp suport direstart gawaras tugas bpjs aplikasi penuh data pdahl simpan data sisa gb sisa gb mohon cepat baharu,positive,neutral,5
layan yg ramah,neutral,neutral,5
manfaat,neutral,neutral,1
njr liat sms kode ngulag perintah ga becus banget bikin aplikasi,neutral,neutral,5
usul mohon kembali akun kk no hp email banyak anak no hp email,neutral,neutral,2
luarbiasa hebat,positive,positive,5
aplikasi bolak down pagi kalo maintenance malem aja pagi periksa kontrol susah ga kali,negative,negative,5
maksud nyahrs log in log inmnt nik ktp trspdhl udh update,neutral,neutral,5
kali daptar enda jga no notifikasi pendaptaran kirim no hp puluh kali coba terdaptar suruh daptar ulang aplikasi heng heng,neutral,neutral,1
aduhhh gimana baik gara log out gak login password nya lupa daftar ulang gak tolong baik,positive,positive,2
baik ga sih sistem nya klo ga niat bikin aplikasi gausaahhhh aplikasi taiiiii,positive,positive,1
aplikasi gimana sih masuk gagal koneksi wifi on cepat jg bagus tp knapa stp buka aplikasi sll ingat offline sih,positive,positive,5
aplikasi daftar aja susahnunggu otp minggu minggu gx kirim kirim,neutral,neutral,5
coba x beda nomor kode verifikasi,neutral,neutral,5
daftar ga muncul kode verifikasi nyaa,neutral,neutral,2
aplikasi taii dattar susah gagal trus nomor pakai trus download,negative,negative,2
jkn kesini ribet yah ganggu akun faskes wajib online bantu moga baik,positive,positive,1
antri online tetep yg lgsg dahulu,neutral,neutral,5
aplikasi log out sndri pas login susah tolong baik,neutral,neutral,4
gajelas sistem error mulu data niat gasih bikin aplikasi beli murah yaa server nya korup,negative,negative,1
layan lambat buka,negative,negative,1
aplikasi mudah bantu,positive,positive,1
aplikasi negara ngeselin yaa gak buka lot gak buat aplikasi kalo gak gin apasih aplikasi buat negara bener kerja hahahaha aplikasi gak dirating klo minus rating,neutral,neutral,5
susah log in,negative,negative,5
aplikasi senang kanmakasih,neutral,neutral,5
najis nih apklambatgagal daftarjelekkebanyakan fitur aman coba gagal mulu,negative,negative,5
daftar antri online paskesnya paham arti online ujung ujung manual trus pungsi daftar online kalo ujung ujung manual,neutral,neutral,1
moga nya,neutral,neutral,5
kode otp nya habis kuota tunggu ngak tuh kode otp,neutral,neutral,2
mudah rubah faskes,positive,positive,1
buruk ga login,negative,negative,5
susah aja semnjak update,negative,negative,1
aplikasi busukbukannya kembang fleksibel antri sulit aplikasi trobel nya log out mulu gak respon gak becus atur alih antri digital ya sok ngatur komenku ga direspon kasih bintang biar lihat,negative,negative,5
aplikasi bantu serta jkn mudah layan yg,positive,positive,5
mudah manfaat muas,positive,positive,1
simpel aja,neutral,neutral,3
layan bagus,positive,positive,5
apk burik pas cek in logout pas login capca kaga muncul,neutral,neutral,5
apk sampaah lemoot nggu kode verifikasi thun jgan download apk rusak ga poko ribeeeuttt,negative,negative,2
aplikasi,neutral,neutral,5
aplikasi tingkat,neutral,neutral,2
buruk benah,negative,negative,5
aplikasi tingkat daftar on line faskes jam praktek daftar onlinenya pas jam kerja gitu gak fungsi,neutral,neutral,5
mantap,positive,positive,1
faskes tibatiba ubah ubah aju ubah,neutral,neutral,5
bagus good,positive,positive,5
oke sesuai prosedur,positive,positive,4
aplikasi sampah susah bener login error,negative,negative,1
keren banget,neutral,neutral,5
daftar mcu masuk akun lupa sandi pas ganti sandi trs kirim nomor verifikasi nya nggak udah jam nungguin gimana tolong benerin,neutral,neutral,5
proses cepat,positive,positive,5
tingkat teknologi aplikasi mudah pasien info cepat tanggap terimakasih,positive,positive,1
pindah faskes aja gak klik pilih wilayah faskes nya menu pajang ya,neutral,neutral,1
captcha ny yg donk susah,negative,negative,5
login urgent login hambat terkadang lupa password login,neutral,neutral,5
mantap pindah faskes mudah via aplikasi mobile jkn,positive,positive,2
sehat semangat,neutral,neutral,1
update mudah rempong nggak discreenshot habis daftarin layan online utk ibuk kampung foto pakai hp ribetttt,positive,positive,3
gak otp gak kirim kirim,neutral,neutral,5
mudah pindah faskes,positive,positive,5
aplikasi nggak suka log out jaring bagus lancar gilir buka apk loading bgt,positive,positive,5
udah bayar tagih jatuh tempo tanggal gaji tgl langsung bayar nya x tagih ga hitung bln oktober november ga hitung bayar tagih nya nya kirim chat blm bayar bed banget,neutral,neutral,5
gk jls hk buka pas buka cek tiba kluar coba masuk masuk capta tp gk muncul cepat,positive,positive,5
ngeri bet ngeri ngeribetin,neutral,neutral,1
apk nya gimana kalo pake adan darurat login dulupulihkan akun nya sampe gin bayar apk nya gin,neutral,neutral,1
tebak aju aplikasi semangat nunggu dana cair dr perintah acc dana cair tangan mlempem kek krupuk masuk angin modus tikus tikus korup paraaahhh,neutral,neutral,5
apk sampah,negative,negative,5
data hilang daftar kontrol online muncul data,neutral,neutral,2
capek log out,neutral,neutral,2
puasss bgt,neutral,neutral,4
aplikasi gaguna bat ganggu,neutral,neutral,3
otp ga kirim kirim,neutral,neutral,5
asik log out aja aplikasi,neutral,neutral,1
aplikasi anjingggg tugas bpjs sehat suruh lupa sandi aja udah dilakuin tetep aja ga dah lohhhhh kek gin rs nunggu goblokkkkkkkk bgt nih aplikasi,neutral,neutral,4
susah banget sulit,negative,negative,5
suka log out sdh kali kali masuk gagal,neutral,neutral,1
biasa kalo udah susah masuk lg,negative,negative,1
ngga masuk ya daftar autodebittapi ganti email ubah data ngga,neutral,neutral,1
app nya suka sendirisandi masukin bener tetep ajah terang sandi salahgmn sih kesini nya bagus gk karuandata udah masukin tau hasil gk masukin ulang data,positive,positive,1
alhamdulillah mudah ss makasih sahabat,positive,positive,1
knp sih ni apk log in tulis offline mulu aneh capek bgt,negative,negative,5
udah tau gampang,neutral,neutral,4
login pakai nik nik daftar pakai email email daftar ribet tuju buat aplikasi mudah,positive,positive,5
keren mudah guna,positive,positive,5
apk mudah obat,positive,positive,3
bener bngt logout sendirilogin lg susah balas cma maaf baik sistemnyamending vermuk aja indonesia blm online kahmsh ribet aja,neutral,neutral,1
bagus mudah min adain hapus akun kk akun jdi kalo login ribet tuh kk ya kumpul keluarga,positive,positive,5
puas mudah guna,positive,positive,2
sesuai hendak,neutral,neutral,5
hebat fitur lengkap,positive,positive,2
log out skrg bilang ter daftar,neutral,neutral,5
aplikasi busuk genting error,negative,negative,1
data bpjs bocor dc depkoletor bank nya privasi data orang kacaw perintah tegas,neutral,neutral,2
gimana no yg daftar mobile jkn bilang sesuai ribet lupa sandi,neutral,neutral,1
aplikasi sampah gak gak mutu mudah susah verifikasi wajah kali gagal kali daftar nomor hp yg daftar kode otp tunggu gak masukmasuk detik habis gak kirim masuk nomor hp kali ganti nomor maksud aplikasi gak masyarakat mending hapus aja layan sulit,negative,negative,5
terima kasih manfaat,neutral,neutral,5
woi bikin apk gak sih knp log out masuk kyknya pake starlink biar login jaring gak stabil gin kerja,neutral,neutral,3
susah banget scan biometrik nya ya ampun kali kali coba tolong mudah admin,neutral,neutral,1
logindan pas masuk lupa sandi kirim verifikasi sms ngak kirimaplikasinya ngak,neutral,neutral,5
apk mending gak aja sampe susah kali loginnya udh login entar pas login bilang device beda gak ganti ganti device,negative,negative,5
verifikasi wajah sulit aplikasi sampah,negative,negative,5
tolong suka bingung lgi masukin akun nya ga karna lupa psw,positive,positive,2
terima kasih mudah layan,positive,positive,2
banget log out suka down yah servernya bisa dokterdokter kasih liat aplikasi hadir banget nih udah dokter gak gak tau yah jauhjauh gak cuman loh bolakbalik,positive,positive,1
tolong baik susah verifikasi nomor email wajah logout pas login karna lupa sandi susah,negative,negative,5
akurat,neutral,neutral,1
cepat nyaman,positive,positive,4
apk lol,neutral,neutral,1
aplikasi bermanfaatbagus,neutral,neutral,1
bagus,positive,positive,5
aplikasi mumpuni akibat kerja orang masuk bantu orang verifikasi verifikasi pin sms masuk pesan,neutral,neutral,4
lengkap inpo nya,neutral,neutral,5
kode captcha muncul muncul sulit masuk apk nya,negative,negative,5
cepet banget,neutral,neutral,5
instal trus selesai instal kali instal gaa muncul menu instal aneh,negative,negative,1
ganti faskes apk tp android,neutral,neutral,5
bagus terimakasih bantu,positive,positive,5
otp nya ga kirim gimana buka aplikasi nya bos,neutral,neutral,5
bantu,neutral,neutral,1
layan cepat praktis,positive,positive,3
,neutral,neutral,1
ubah praktis,neutral,neutral,5
masuk aplikasi capcha muter ga kode udh jam ga muncul aplikasi cacat,neutral,neutral,1
woiii admin bpjs kerja yg bener urus aplikasi aja gk selesai tau nagihin tunggak customer aja lu bisanyaa aplikasi gk sebenernya canggih tp nyusahin,neutral,neutral,1
data skrining tdk akurat tdk sesuai datayg pakai data mn,neutral,neutral,5
min aj update tgl des tgl deseh tgl januari suruh update lgklo ga update aplikasi g bs kebukanpa jd kyk gin sih aplikasi jkn ribet bgtsebelbikin kesel aj masuk jkn ko log out ya udh masukin nik pin yg bener tp bilang salah aplikasi jkn npa ribet sih,neutral,neutral,5
apk taikkis nonaktif,neutral,neutral,2
terimaksih,neutral,neutral,5
aplikasi ga daftar aja susah ngbug eror,negative,negative,5
aplikasi menyensarakan login susah kode susah masyarakat periksa dokter susah,negative,negative,2
lemott buka refesh memory hapus cache,neutral,neutral,5
bagus cepat updat,positive,positive,5
puas tingkat layan,positive,positive,1
aplikasi menyusahkantidak layak,neutral,neutral,3
aplikasi jelek captcha aja muter gimana login susah bayar susah hidup udah susah tolong baik suka banget sulit terima kasih,negative,negative,1
ganggu bgt aplikasi perlu pindah klinik,neutral,neutral,5
daftar rs rujuk jkn aja susah bngt gagal hubung trs kayak gada guna jg download ni apl apl cipta efisien praktis tp klo ga bs daftar trs digimanain,negative,negative,1
mudah layan sehat,positive,positive,5
aplikasi ruwet kontrol rs daftar antri aplikasi daftar verifikasi tp gagal trus isi ruwet ruwet ruwet,negative,negative,5
selamat pagi mohon baik aplikasi ya layan sehat suruh download aplikasi jkn mobile tpi sya daftar suruh masuk nomor tlpn sya msukkan tpi muncul via sms nmor msih aktif mohon kerja sma yg,positive,positive,5
udah muak aplikasi tbtb logout login susah belibet banget apk kalo obat dah males download apk,negative,negative,1
mulu heran udah x login salah pasword nya parah udah bener,negative,negative,5
,neutral,neutral,5
gin aplikasi perintah error mulu,negative,negative,1
aplikasi bantu masyarakat layan sehat tunjang program unggul perintah terima kasih mobile jkn terima kasih perintah,neutral,neutral,1
cetak kartu,neutral,neutral,5
min login captcha nya muncul,neutral,neutral,5
nembantu,neutral,neutral,5
tht in syaa alloh pol mata awat,neutral,neutral,5
bantu bagus,positive,positive,5
complain gk sih pas gk pulsa nya kirim nomber otp nya pas udah pulsa nya ngedadak gk knpsih nih aplikasj ribet ginii,neutral,neutral,5
senang,neutral,neutral,1
aplikasi log out trus pas masuk captcha nya error nggak update kalo bikin ng bug,negative,negative,3
udah daftar ko suruh bayar iur bulan sih hapus data ga gajadi daftar klo suruh bayar mah,neutral,neutral,1
jelek banget karna logout gilir login susah udah bener nik password nya tetep aja gabisa masuk sampe salah x udah gitu nunggu menit ga muak aplikasi,negative,negative,5
ribet bangat daftar aja susah,negative,negative,5
terima kasih,neutral,neutral,5
