Review Text,Rating,sentiment_label
"Saya cuma mau download kartu, tapi disuruh menambahkan peserta baru dulu, baru bisa melihat kartu? Siapa yg mau saya masukin? Anaknya tetangga saya masukin?? Saya punya kucing, boleh ngga saya masukin ke JKN? gwendeng bintang 1. APK sangat menguras kesabaran dan mempersulit.",1,negative
asoooooooy,5,neutral
aplikasi jelek ampas gw mau ubah pasword disuruh verifikasi otp tapi ga di kirim kirim emang ampas banget ini aplikasi kalo emang ga sanggup ga usah sok pake aplikasi segala,1,negative
bagus n puas bnget plyanan cepat dan tdk ribet perdana pakai slama in alhmdulillah puas sayang klo mw rawat jalan misal k poli harus sesuai polkes pilihan,5,positive
very good,5,neutral
"dahlah ribet daftarnya. verifikasi gk jelas, gagal terus",1,negative
"Setiap buka aplikasi mobil jkn ga bisa melulu,sdh di uninstal dan restart ga bisa jg.",4,neutral
"tidak bisa verifikasi, kodenya tidak mau masukpun dicobain berulang kali juga masih sama, kesell",1,neutral
"ini apaan dh, gw verif no lama banget, dh kek nunggu orang penting aj",3,neutral
ngeleg,5,neutral
mempermudah proses,5,positive
"ini aplikasi jaringannya yang jelek atau apa, udah beberapa kali saya mau verifikasi pakai sms ga bisa-bisa tolong dong pihak dari aplikasi perbaiki bug yang ada",1,neutral
susah buat daftar boss,5,negative
fast respon,5,neutral
muantaaaappp pokonmaah,5,neutral
ok,5,neutral
"pelayanan aplikasi sangat buruk, ribet, mempersulit login.",1,negative
habis update malah gabisa dibuka di poco F6,1,neutral
semangat terus jangan kendor,5,neutral
sangat bermanfaat,5,neutral
sangat membantu,5,neutral
"download buang2 kuota aja, berulang kali daftar tetap aja nggak bisa, kirim kode otp nya coba puluhan kali tetap aja nggk bisa",1,neutral
"susah verivikasi nomer HpNya ga masuk"" ke SMS parah aplikasi jelek",1,negative
sangat membantu dan memuaskan terimakasih,5,neutral
sangat menbantu,5,neutral
aplikasinya cepat responya,5,positive
alhamdulilah bagus apk nya terima kasih bpjs sangat membantu orang yg susah,5,neutral
aplikasi nyusahin udah login malah logout trs mau sigin salah terus padahal udah bener gimana sii?!,1,neutral
sangat memudahkan dalam pelayanan.,5,positive
"coba daftar baru, di suruh masukin nomor hp buat verifikasi, udah coba beberapa kali dan di tunggu seabad ga di kirim2 kode otp nya",1,neutral
sangat bermanfaat terimakasih,5,neutral
Alhamdulillah jadi gak ribet,5,neutral
sejauh ini masih bagus,5,positive
lebih praktis,5,neutral
kenapa sii kok gagal server terus tiap mau ambil antrian,2,negative
mudah dalam penggunaan,5,positive
"terima kasih,",5,neutral
bayar bisa di mana saja tapi periksa ga bisa dimana saja,1,neutral
aplikasi Ga jelas.nik sandi sesuai ga bisa login.,1,neutral
membantu sekali,5,neutral
"bagian verifikasi susah, pdhl udh masukin nomor sama email ttp aja kode nya ga masuk², mau berobat aja susah bgt",1,negative
"Data nomor telepon tertukar dengan nomor orang lain, verivikasi selalu gagal",1,negative
bagus sangat membantu..,5,positive
sangat membantu untuk pindah faskes dan berobat terimakasih petugas puskesmas Leuwiliang sudah membantu menggunakannya,5,neutral
Bintang lah yang berbicara,5,neutral
pengiriman kode OTP melalui nomor telepon tidak bisa di terima;(,3,neutral
Sangat baik,5,neutral
ok siiiip,5,neutral
kenapa mobil jkn sulit dibuka ni,5,negative
"kenapa siiii troble terusss menghambat pekerjaan bangettt,gabisa verif wajahla gabisa terima sms lah,tiba tiba pilihannya cuma sms yg harus pake pulsa,aturan ditingkatkan lah,katanya wajib pake jkn tapi apknya banyak crush",1,neutral
"aplikasi kaga jelas w pagi ini mau berobat ke puskesmas katanya bulan puasa buka jam 07:30...ok w turutin nungguin sampai jam 07:30 disuru dftar online melalui aplikasi ini,dah jauh jauh dateng ke puskesmas jalan kaki disuru daftar online,katanya biar kaga ngantri ribet ok, w blik kerumah daftar online karna HP dirumah kaga dibawa,giliran dah download aplikasi ini buat daftar susah banget nunggu kode Verifikasi SMS kaga muncul muncul hampir 20 kali nyoba dri jam setengah delapan sampai skrng.",1,negative
sangat praktis dan bayak mampaat yh.,5,neutral
"tidak bisa memasukan nomor hp, tidak ada menu pilihan verivikasi lewat apa. gimana mau verivikasi? jadinya ngga bisa daftar antrian online.",2,neutral
gampang dalam perubahan peserta,5,neutral
"tunggakan lebih dari 2,5 juta bayar ke kantor pos. gak bisa bayar ke alfamart, indomart, bri.",3,neutral
tiap log in paswor salah trus padahal sudah benar akhirnya ganti paswor bsok nya salah lagi ganti lagi gitu terus,2,neutral
ni apk ga pernah jelas lambat,1,negative
good bgt,5,neutral
jangan di perbarui lgi donk mobile jkn nya. udah daftar tpi kon vertifikasi segala nomer ku aktif dan email juga aktif kenapa tidak aktif sich nomer tlpn dan emailnya jdi susah kan buat vertifilasinya.,2,negative
"min, saya mau masuk tapi TDK bisa dikarenakan perangkat SDH login 3 NIK. solusinya gimana",3,positive
belum pernah pakai semoga bermanfaat,5,neutral
"buat klik masuk aja susahnya minta ampun, kayanya bug, udh diuninstal instal sama aja. ini anggaran buat maintenance aplikasinya dikemanain sih",1,negative
Ok,5,neutral
sangat memuaskan sukses selalu.Aamiin,5,neutral
"kenapa ya, setelah update aplikasi tidak bisa daftar antrian online?",3,neutral
"ini kenapa sih aplikasinya, udh seminggu g bs dibuka, bolak-balik dsruh login, tp tiap login g bs masuk ktanya KTP sudah kadaluwarsa, pasword salah,, bikin pusing aja.. KTP nya slalu saya pake kq, mlh dbilang kadaluwarsa,,tolong dong dipermudah..",4,positive
simple& perfect,5,neutral
semoga menjadi lebih baik lagi untuk melayani masyarakat yang membutuhkan..🤝,5,neutral
aplikasi kok -F1 terus,1,neutral
bagus mudah cepat,5,positive
bagus untuk jaminan kesehatan,4,positive
"Terima Kasih Untuk Apkikasi Mobile JKN yang sangat membantu ini, semoga tetap Semakin Bermanfaat kedepannya Untuk Rakyat Di Negara Tercinta ini.",5,neutral
tolong kalau mau bikin aplikasi yg bener. loginnya susah. gak bisa daftar no antrean. ini bukannya mempermudah malah mempersulit orang,1,negative
"Pilih menu apapun, ambil antrian, ganti pin apapun. Gagal terus. Heran",1,negative
bagua,5,neutral
proses cepat,5,positive
"log out sendiri, mau masuk susah, gk jelas",1,negative
aneh slalu salah masukin password..,1,negative
menolong pasien,5,neutral
baik,5,neutral
sangat membantuu,5,neutral
verifikasi nomer untuk lupa kata sandi lama banget masya allah tolong cs nya dipercepat proses verifikasi nomer telpon nya dong.. kasian mama saya,1,positive
pelayanan terbaik,5,positive
mengecewakan tdk bisa di daftarkan untk login.,1,negative
aplikasi aneh keluar masuk sendiri mau daftar kontrol gak bisa harus offline,1,negative
berjaya ditanah sendiri mobile jkn,5,neutral
baguss,5,neutral
sangat puas,5,positive
sangat terbantu,5,neutral
"dalam penggunaan aplikasi ini,,prosesnya Tidak Ribet,sangat mudah dipahami. terimakasih Mobile JKN",5,positive
ga muncul kode verifikasi di wa nya,1,neutral
aplikasi ini sangat membantu dalam proses pelayanan kesehatan,5,neutral
ok baik,5,neutral
mantabbbb,5,neutral
Alhamdulillah melalui aplikasi Mobile JKN memudahkan saya daftar online,2,positive
josss,5,neutral
baik sekali sangat mmbantu,5,neutral
"Saya sempat salah memasukkan nomor HP dan mau verifikasi ulang untuk mendaftar, tapi tidak dapat diproses",1,neutral
oooooke,5,neutral
"Ketika harus verifikasi wajah, kan harus lepas kacamata ya. Nah, mata saya minus >5, gk bisa baca instruksinya, apalagi untuk membuat kotak (wajah)-nya berwarna hijau susahnya minta ampun. Kepala miring ke kanan, ternyata ke kiri. Kenapa pake pencerminan terbalik sih?? Bikin bingung, udahlah gk responsif. Klo gk krn dompet jatuh, gak bakalan aktivasi JKN ini . . .",1,negative
sangat memuaskan,5,neutral
sangat bagus krna memudahkan para pemakai bpjs,5,positive
kok tidak dapet kode otp sampe di tunggulama,2,neutral
instal mobile jkn mudah.... periksa di fktp semakin mudah....,5,positive
saya mau mengajukan REHAB tp tidak bisa tunggakan saya sudah 4bulan,4,neutral
ok dan memudahkan TDK udh k kantor,5,positive
susah dapat otp!!! capek dehhhh,1,negative
"cahaya udh bgus ga pake kacamata, tetep aja verifikasi nya gagal. ga jelas",1,negative
ribet sering eror kaya yg buat aplikasinya,1,neutral
kok macet?,5,neutral
ok bagus,5,positive
tiap kali log out sendiri.. trs harus masuk ulang masukan KTP dll.. baru kali ini aplikasi koq seribet ini . parah,1,negative
"saya bisa menerima kode OTP lewat email, tpi knpa saya tidak bisa menerima kode OTP lewat SMS / WA, padahal nmr hp saya msih aktif",1,neutral
sering banget ke log out sendiri !!!!!,1,neutral
Baik sangat membantu,5,neutral
"aplikasi banyak bug,, lemot",1,neutral
kirim kode verifikasi SMS aja lama bgt dan selalu ngulang dari awal terus kalau layar ke kunci,1,neutral
bagus sangat membantu,5,positive
melakukan perubahan data dengan sangat mudah ...,5,positive
akses sangat mudah dan cepat . Terima kasih .,5,positive
udahh berapa kali minta verifikasi lewat no hp engga bisa bisa juga sampai 3 jam pun tetap engga bisa,2,neutral
membantu sekali.....terima kasih,5,neutral
ajib,5,neutral
sangat baik pelayanannya walaupun secara online. terimakasih JKN,5,neutral
ini mo masuk aja kok susah pdhal nik nya uda bener di bilang salah aja,2,negative
top markoto,5,neutral
"aplikasinya masih cacat, mau daftar ga bisa bisa, nomor verifikasi ga masuk-masuk, udh nunggu 200 an detik masih aja ga jadi, malah nyalahin internet lemot.. hadeh",1,neutral
puas dengan aplikasi mobile jkn,5,positive
aplikasi mudah,5,positive
👍👍👍👍,5,neutral
aplikasi yg bagus sangat bermanfaat untuk kesehatan kita,5,positive
saya suka mobile jkn,5,positive
udah berulang ulang verifikasi pake nomer hp tapi gak ada sms masuk,1,neutral
pelayanan cepat,5,positive
Bgus,5,neutral
kontollllllll ribet gak terkirim2 kode sms,1,neutral
"ini aplikasi gimana sih? semakin kesini mlh semakin lambat, setiap mau daftar pelayanan faskes tingkat lanjut selalu loading lama ujung ujungnya ""permintaan tidak dapat diproses"". padahal sdh pakai wifi",1,negative
aplikasinya msi bnyk bug dan eror,1,neutral
sangat membantu dan. mudah dalam berboat,5,positive
"Katanya sekarang serba online, kenapa buat daftar kok ngga bisa sih, ""Permintaan anda belum dapat di proses, silahkan mencoba beberapa saat lagi, Mohon maaf atas ketidaknyamanan anda"" Sampai kapan?? Udh satu jam an ini, 😤",1,neutral
"ga bisa dipake aplikasinya,2 hape muncul tulisan ""untk alasan keamanan,aplikasi tdk dapat berjalan pd perangkat yang dilakukan root??prasaan slh satu hape br?ga bs,ini app jkn knp sih?mau cek²ga bisa loh,😌",1,neutral
"kadang2 Sush KLO mau dptr online,ketmbh klou login suka ribet, harus dri awal LG.",3,positive
"sekarang pelayanan wajib ambil antrian online, sementara apk nya sering bngt offline gabisa ambil nomor tolong diperbaiki",1,positive
Ini knp koq mau daftar online gak bisa notif nya OFFLINE Jelas² saya Online Koq sering gangguan,1,neutral
"Pelayanannya cukup baik,,,",4,neutral
adanya mobile JKN semua nya simple mau cek kesehatan. .😁😁,5,neutral
keren dan mudah dipergunakn,4,positive
"sering trouble daripada benernya. respon time lambat. kalo masalah jaringan, kenapa buka aplikasi lainnya bisa? terus kalo daftar online ke RS kenapa nggak muncul pilihannya????? padahal ke fktp bisa. mana nggak ada yg bisa di kontak. nyusahin orang aja. payah",1,negative
Min apk nya bagus dan membantu. cuma kadang waktu mau ambil antrian selalu di bilang lagi offline. pdahal jaringan bagus. mohon perhatiannya min. terimakasih,5,positive
tolong di perbaiki lah.. ngambil antrean nggak bisa masuk2..,2,positive
proses berobat makin sulit smenjak pke JKN,1,negative
Membantu,5,neutral
"dari jam 12 siang sampek jam 23.00 mau daftar kok tiap verifikasi no otp nya tidak keluar ya, sudah coba pakek no lain juga gak bisa, ini kendala nya kenapa ya?",2,neutral
sangat bagus dan membantu,5,positive
sangat bagus sekali,5,positive
"disuruh verifikasi no hp tapi kode otp ga masuk2, ini gimana sih aplikasi",1,neutral
"semoga bermanfa,at buat rakyat dan amanah",5,neutral
"jkn kenapa akun tiba tiba hilang dengan sendiri nya, tolong perbaiki secepat nya🙏",1,positive
Bagus,5,positive
saya gk bisa ambil antrean online,1,neutral
cukup puas dengan layanan ini,5,positive
Sangat membantu dan mudah digunakan,5,positive
"aplikasi mobile jkn , memberikan pelayanan yg baik .",5,neutral
Sangat bagus,5,positive
"nomor aktif nunggu otp 24jam ga masuk,cek pulsa bisa cek kouta bisa giliran otp jkn ga keluar kluar",1,neutral
"Tolong jangan di persulit, masa tiap berubah jaringan dari wifi di rumah ke wifi lain server langsung ke log out sendiri, pas masuk malah nggak bisa. Belum lagi pas mau masuk dan lupa kata sandinya semakin dipersulit kita pindah ke email untuk melihat kode otp dan kembali ke aplikasi malah harus ngulang dari awal lagi",1,negative
kok aplikasi JKN nya slalu keluar muluh aneh tolong di perbaiki aplikasi JKN trimah kasih,1,neutral
Sangat Baik👍,5,neutral
"aplikasi ribet dikit dikit harus verifikasi, giliran mau verifikasi gagal terus, gimana ortu mau periksa coba. apk ini buat org sakit bukannya di permudah malah bikin ribet",1,neutral
Respon cepat,5,positive
udah login pakai nik tapi kok nik salah gimana sih ini? padahal udah bener. aneh banget nih aplikasi.,1,negative
"verifikasi nya gagal terus, lemot sistemnya",1,negative
Tolong watermark nya di perbaiki biar ga bikin pusing kalau di swipe 🙏🏼🙏🏼🙏🏼,2,positive
daftar antrian loading terus bu,5,neutral
gabisaa verifikasi no hp,1,neutral
pelayanan memuaskan petugas ramahh,5,neutral
"busukkk bangettt, mau verifikasi nomor hp gabisa terus padahal nomor aktif dan pulsa juga ada. udah coba pakai hp lain juga sama ajaaa, jelekkk",1,neutral
"aplikasi rusak, verivikasi SMS tapi SMS Ndak ada masuk",1,negative
sangatt membantu,5,neutral
"aplikasi saya ingin mengubah nomer lama yang hilang ke nomer baru,setelah saya konsultasi kan ke PANDAWA CS nya tetep gak ada pengaturhnya muter muter aja disitu,untuk login aj sudah lupa kata sandi gimn cara mengubahnya ,gak ada pengaruhnya",1,neutral
keren,5,neutral
mantaaaap,5,neutral
nyusahin,1,neutral
"aplikasi mobil jkn kenapa tidak bisa daftar antrian online, sungguh sangat mengecewakaan",2,neutral
"jika ingin memperbaharui data, seperti mengganti nomor lama ke baru tidak bisa membuka browse untuk meng-upload foto diri dan KTP?? tolong diperbaharui",4,neutral
sekarang pendaftaran rs Tambah gampang.... 🙏🙏🙏,5,neutral
"ini aplikasinya tidak bisa dibuka dihp saya dengan keterangan (untuk alasan keamanan, aplikasi tidak dapat berjalan pada perangkat yang dilakukan root). padahal hp saya tidak pernah saya apa-apain.",2,neutral
"app gajelas, password sama nik udh bener katanya salah, udh coba ikutin ganti password tapi beberapa hari kemudian dikeluarin dari app suruh login ulang, masukin lagi nik, password sama captcha katanya salah lagi",1,neutral
memudahkan pengguna,5,positive
kenapa aplikasi ini selalu suruh daftar ulang,4,neutral
g bisa terima kode verifikasi,1,neutral
"aplikasi jelek, ribet daftarnya, sering eror, butuh jaringan bagus, sering ngulang, foto banyak gerakan, mending daftar ajaib",1,neutral
mudah klo sudah mengerti... tingkatkan lagi saja kualitasnya,5,positive
login nya susah banget,4,negative
baiklah,5,positive
"mudah, cepat & praktis",5,positive
"Sampah banget si ga bisa"" merima sms gimana orang mau login/daftar",5,negative
Mau buka aplikasi selalu ter log out jadi terus2an harus log in,1,neutral
respon yang cepat 👍👍👍,5,positive
"mau ngasih informasi bpjs, ini sayaa lupa kata sandi terus saya buat lupakan sandi dan masukin nik dan nomor saya yang terteraa di akun itu, dari hari senin sampai sabtu saya coba ada gangguan terus padahal nomor saya masih aktif ga mati bagaimana nih mobile jkn?",2,neutral
"sangat membantu, k fasilitas kesehatan jadi lebih mudah",5,positive
sangat bermanfaat & cepat tanggap,5,positive
untuk pendaftaran susah,5,negative
"aplikasi bangke,eror melulu , payah!!!",1,negative
"maaf ya kenapa sekarang jadi tidak bisa verifikasi lewat WA? harus selalu lewat SMS, tolong balikin lagi verifikasi lewat WA soalnya jaman sekarang orang jarang yang punya pulsa, selalu punya kuota",2,neutral
ngga bisa di bukak...🙄🙄🙄,1,neutral
"Dgn adanya aplikasi mobile jkn, membantu mempermudah transaksi 👍",5,positive
oke,5,positive
mantap boss,5,positive
"verikasi wajah sangat sulit dilakukan, tidak simpel dalam pembuatan akunnya",2,negative
"saya melakukan REHAB kirain langsung aktif pas pembayaran pertma,ternyata tidak,harus tetap lunas dulu semuanya baru bisa aktif kembali,menurut saya program REHAB kurang membantu karena tetap tidak bisa berobat meskipun di cicil.",2,neutral
"udah habis pulsa 10rb buat kode otp , pas masukin kenapa tdk valid mulu , bikin susah aja kelen",1,negative
ok bgt,5,neutral
"kenapa ngga bisa masuk ya harus daftar autodebit,tapi harus ganti email mau melakukan perubahan data jadi ngga bisa",4,neutral
"aplikasih kok sering log ut sendiri padahal jarang dipakai, tolong dong diperbaiki lagi!!!!",1,positive
mau daftar mobile JKN bukannya dibikin mudah malah harus verifikasi ini itu.nunggu nomor verifikasi lewat SMS gak masuk2 lewat email gak masuk2.tauk lah yg bikin aplikasi ini gmn.,1,positive
"kenapa tiba-tiba logout sendiri dr akun.. dan saat mau masuk lagi karena lupa pasword malah gak bisa, disuruh verivikasi lewat sms / gmail. pdhal no dan email dulu sudah di daftarkan. giliran dimintai verifikasi lewat nomer gak bisa juga, lewat email pun juga gak bisa. ini aplikasi maunya apa.. padahal riwayat pesan masuk ke email yang sama dulu buat daftar masih ada.. hadeh..",1,neutral
OK,5,neutral
mobile JKN memberi banyak kemudahan,5,positive
mudah dan cepat,5,positive
Sangat membantu..,5,neutral
Sangat mengecewakan,1,negative
terima kasih banyak mobile JKN sangat membantu,5,neutral
kenapa setiap login permintaan tidak dapat di proses silahkan kembali beberapa saat lagi pdahal no NIK dan pasword bener,2,neutral
captcha muter loding terus gak muncul2 saat mau masuk. alhasil gak bisa masuk,1,neutral
memudahkan pelayanan,5,positive
"siap di upgrade langsung mulai dari awal. sudah saya login kan lupa pasword, minta verifikasi no hp susah amat gak terkirim2. jadi mau nya gimana sihhh??? tolong saya mau berobat",1,negative
mantaap,5,neutral
good app,5,neutral
minta verif nomor telpon pakai sms . tapi gak ada sms masuk . piye tah ?,1,neutral
membantu utk daftar online kontrol bulanan. tpi sayangnya selalu keluar dari aplikasi dg sendiri shingga hrus masuk lagi menggunakan password.. dan utk mengambil no antriannya suka hilang dri apliksi jdi harus k pojok jkn dlu.. mohon di perbaiki supaya tidak kluar trus dri aplikasi dg sendirinya ktika tdak digunakn. krna sdkit menyulitkn.,3,positive
"kenapa sulit untuk pendaftaran online,,dan tiba2 tidak ada no surat rujukan padahal jelas2 pasien dirujuk di faskes lanjutan. ini aplikasinya eror atau kenapa?",5,negative
Sangat Membantu Dan Mempermudah,5,positive
mohon penjelasannya kenapa kok sering logout sendiri. tidak bisa simpan histori NIK / username saat minta login lagi. pengguna harus berulang2 input. mohon di tingkatkan,2,neutral
MANTAP,5,positive
"akun sering logout sendiri, giliran mau login lagi susah nya minta ampun",2,negative
sangat mempermudah kebutuhan keluarga kami,5,positive
sangat puas dengan layanan jkn,5,positive
"hayo aja sesi habis dan harus login ulang, merepotkan!!!",1,negative
sangat membantu aplikasinya,5,neutral
aplikasi yg memberikan banyak kemudahan.,5,positive
baru pertama kali,4,neutral
"kenapa status saya tidak aktif, padahal selalu bayar tiap bulannya, mana laporan dari aplikasinya nunggak 2bulan, tlg aplikasi nya diperbaiki, kalo gini kami rugi, tolong di tanggal dengan cepat",1,positive
alhamdulillah punya mobil jkn sangat membantu dalam urusan kesehatan,5,neutral
lebih mudah mengakses,5,positive
layanan baik,5,neutral
"verif nomor satu jam gak ada muncul kode nya, gak jelas!!",1,neutral
sering mepet antrian nya. jadi nya gua kesusahan di RS. ga guna emg ni apk,1,negative
memuaskan,5,neutral
bagus sangat,5,positive
"Saya lupa kata sandi ,di lupa kata sandi kan no hpnya keblokir ga bisa Nerima otp coba kalau bisa otp nya pake wa",2,neutral
rumit ribet,1,neutral
selalu mentok di verif no HP gk pernah dapet sms,3,neutral
Alhamdulillah berhasil,5,neutral
sungguh sangat membantu,5,neutral
"Semakin mudah dan semakin MANTUL menggunakan JKN Mobile,👍👍👍👍👍",5,positive
"terima kasih BPJS kesehatan,layanan begitu optimal dan cepat respons semoga kedepannya lebih baik lagi",5,positive
sangat baik,5,neutral
selalu gagal terhubung ke server RS,1,negative
butut,1,neutral
terimakasih.. dan terus permudah kami sebagai rakyat kecil untuk berobat yg lebih baik,5,positive
mangstabbbb,5,neutral
"aplikasi yg paling bodoh, sering kali log out. setiap log in harus masukin nomor ktp lagi. emang ada orang yg hafal dengan nomor KTPnya?",2,neutral
"katanya suruh hubungi 165, stlh dihubungi napa tidak disambungkan malah diakhiri. aneh percuma isi pulsa. suruh tangkapan layar, dikirim email. itu aja gk diizinkan dari apk jkn nya",2,negative
terkadang agak sulit waktu check out,4,negative
"Cara mendapatkan kode referral nya gimana, kalau di youtube banyak yang kasih kode referral, tapi masalahnya tidak berbahaya buat akun pribadi",3,neutral
ok..mudah digunakan,5,neutral
"aplikasi nyusahin orang, katanya biar semua jadi mudah, mau verifikasi sj ga bisa2 gmn ini, ms hrs ke bpjs lagi cm buat verifikasi.",1,positive
mudah dalam melakukan kebutuhan d aplikasi tsb,4,positive
alhamdulillah pelayanan baik,5,neutral
verifikasi nomer hp tidak masuk masuk padahal nomer sudah di periksa dengan benar,1,neutral
"Setiap buka aplikasi harus login lagi. Selain itu, orientasinya suka tiba2 berubah. Tolonglah pemerintah, anggaran buat aplikasi ini jangan di korupsi terus, kalau kerja yang serius.",1,positive
kenapa kalau udah lebih dri 3 akun di dalam gak bisa lagi masuk akun lain itu gimana iya tolong di perbarui soalnya saya juga pelayan kesehatan untuk bantu pasien saya yang GK punya hp android jadi susah soalnya sudah di wajibkan pakai JKN kalau mau berobat di faskes tolong di tanggapi secepatnya,1,neutral
"mau ubah password pake otp sms, tapi gk dikirim kirim otpnya, telpon cust. service solusinya cuma harus ke kantor cabang, ribet bener dah 😌 aplikasi inijadi males",1,positive
"aplikasi mempersulit hidup orang, buat apa atuh kartu BPJS nya kalau harus pake aplikasi ga jelas ini, mana setiap mau berobat jadi susah karna suka logout sendiri, tolong dong jangan bikin hidup orang susah, kalau ada yg lagi buru2 gimana, nyawa orang loh ini, giliran ada kenapa2 ga mau tanggung jawab, aplikasi ga guna !!!",1,negative
"Kepada pihak developer yang terhormat, saya ucapkan terimakasih atas aplikasi ini, di sini saya bener bener puas ada nya aplikasi ini, ini bener bener sangat membantu untuk proses pengobatan, semoga untuk kedepannya aplikasi dapat berkembang menjadi sangat baik lagi, saya ucapkan sekali lagi, Terima kasih banyak",5,positive
belum pernah menggunakan fasilitas BPJS kesehatan,4,neutral
Sangat mudah dan membantu untuk berobat,5,positive
terimakasih aplikasi nya mempermudah sekali,5,positive
saya lupa password JKN sya dan sya coba ke opsi lupa sandi tapi sma saja no hp dan email sya katanya tidak terdaftar padahal sya login pertama pakai email sya sdah berapa kali mengajukan opsi lupa sandi tapi sma sja tidak ada kejelasn dan kode yg di sruh masukan gak ada sma sekali,3,neutral
aneh bgt dis suruh nunggu otp kagak muncull² padahal nk aktipp ngg jelass pisan,1,negative
sistem baik mudah dipakainya,5,positive
"maff sebelumnya kenapa ya,setiap login harus terdaftar terus beberapa kali daftar tetap keluar dari akun apk.ini.bukan keluar dari menu tapi keluar pendaftaran akun,saya merasa kesal mengunakan apk.ini JKN BPJS kesehatan",2,neutral
memudahkan akses,5,positive
hari ini tanggal 6 Maret 2026. saya berobat mengunakan BPJS berbayar. mau bikin rujukan dari paskes terdaftar di BPJS ke rumah sakit daerah. dari paskes di persulit. sudah bisa lalu datang ke rumah sakit daerah di persulit juga. pdahal saya sudah sakit perlu penanganan secepat nya. tp tetap aja harus menunggu Berjam jam. beda SMA kalo kita berobat ke umum. mudah langsung di tangani. yang jadi pertanyaan knpa kalo menggunakan BPJS di persulit? sedangkan kan SMA di bayar juga. kita iuran tiapbulan,2,negative
memudahkan urusan,5,positive
"system aplikasi masih buruk, susah sekali aksesnya....",1,negative
susah daftarnya,2,negative
"aplikasi sampah, buat daftar aja gabisa",1,negative
Baik,5,neutral
quick respond,5,neutral
"masih sama, sulit ganti pasword",3,negative
Digunakan banyak orang tapi kualitasnya buruk,1,negative
Medis Terbaik 😇,5,positive
memudahkan sekali,5,positive
Memudahkan sekali untuk keperluan administrasi faskes,5,positive
"setiap kali buka harus log in pake nik pasword, capcha,,,ribet banget,,, mau rubah data harus photo biometrik,,,photo depan,senyum,tengok kanan,tengok kiri,,, mirip ODGJ aja,, parah bgt,,, log out lagi aja,,,!",2,negative
sing waras nyien aplikasi th eror bae pusing,2,neutral
kode verifikasi ke nomor hp gak dikirim² dan hanya ada opsi nomor hp tidak ada opsi wa. padahal no biasa & wa sama,1,neutral
👍,5,neutral
disuruh scan wajah tapi kenapa gk bisaa?,1,neutral
"sebetulnya sudah bagus, tapi kenapa selalu harus daftar ulang, padahal ga harus updet, why ???",4,positive
kirim otp susah banggeeeeeeeeettttttt,1,negative
"setiap bulan sekali masukan nik,susah masuknya,padahal password sudah benar,tolong d perbaiki lagi aplikasinya",1,positive
sangat bagus,5,positive
update faskes bpjs melayani dgn sangat baik,4,neutral
sanngat membantu dan terbantu,5,neutral
semoga bermanfaat,5,neutral
sangat membantu proses BPJS menjadi lebih mudah,5,positive
Mohon solusi cepatnya klu server bermasalah,1,positive
