text,sentiment
daftar susah ya batal deh nya,negative
download app sebelumnyatapi pas masuk nomer hp nomor hp gunakanterus coba langsung masuk klik lupa sandi barang kali lupa dulunya pakai app notif maaf nomer daftar hadeeh mbulet,neutral
daftar gagal,negative
nggk sulit daftar online pol sedia sdh tera aplikasi jkn,negative
mudah layan,positive
guna,neutral
sampah jaring bagus buka,neutral
nampilin capcha ribu,neutral
layan yg smngt,neutral
moga aplikasi jalan mesti kendala mudah penguna,positive
bagus cma kendala tambah serta lahir cangkup provinsi,positive
cepat ubah data ga,positive
sulit deskripsi daftar butuh gagal vermuknya gk baca mudah tolong,negative
ubah data no tlp cepat,positive
akses sehat ribet krn wajib make apk kasi orgtua yg gaptek pas buka apknya ribet gabisa ubah no telp suruh wa pandawa gajelas yg balas bot manusia hadehhhh,neutral
apk gajelas anj bikin susah guna bpjs kont,negative
aplikasi luncur hormat direktur masak aplikasi error down ganggu mohon baik tingkat performa aplikasi mohon maf aplikasi nasional sehat alangkah baik laku inpeksi baik serius gagal ganggu daftar juta masyarakat obat laksana karna atur daftar jkn mobile,positive
mantap mudah,positive
ko log in ulangbaru log in log in ulang lagikalok umpama butuh dadak sakit begituharus log in ulang gak kasianperbaiki lahgak nyaman,positive
login aneh jaring aman simpan aman udh kali uninstall trs download tetep sma,negative
okmembantu,neutral
aplikasi sebal,neutral
manfaat aplikasi,neutral
aman praktis ga ribet,neutral
chaptanya susah baca lansia,negative
niat hati ken bayar iyurantapi yo nak ono tungakan bayar ngaktifin bikir skck cari kerja bayar daftar anak eh kasi tungakan sedi io iyo anak lahir mengunakan bpjs kesehansaya dapet kerjo pasu jatui tagian nak aq ono duwet yo saldo lagek iki arep golek utang neng nak iso melebu pabrewalupun kerjo pabrek urong bayar,neutral
batu masyarakat,neutral
aplikasi susah pakai ya daftar faskes gak bisabisa baru ntah smakin ribet ya,negative
gin dlu tau bener,neutral
gk login,neutral
guna mjkn mudah proses daftar fasilitas sehat cari nomor antre faskes khawatir antre proses cepat mudah sehat terima kasih mjkn,positive
dapetin otp susah bgt nomor aktif gak sms yg masuk tolong baik,neutral
nyusain,neutral
mudah serta bpjs butuh layan sehat paskes sanggup bayar tunai rumah sakit dokter spesialis,positive
suruh nunggu kode otp sulit daftar gara kode otp utk verifikasi masuk,negative
jkn good service to the people,neutral
verifikasi baik bawa rana hukum,positive
mantap bantu aplikasi,positive
woi kocak aplikasi bener dikit napa,neutral
sih aplikasi layan publik gk daftar akun susah bgt verifikasi nomor tpi kode nomor gk ad yg masuk mudah pas daftar utbk mah byk syarat,neutral
aplikasi sulit laksana daftar offline layan fakses wajib daftar online,negative
gk dapet kode otp lupa sandi,neutral
,neutral
apk nya tolong baik verifikasi nomor telepon kode nya masuk masuk daftar karna kendala verifikasi nomor telepon,positive
mudah erti kode otp nya,positive
mudah semenjak jkn,positive
aplikasi nya lambat error,negative
aplikasi ga verifikasi nomer ambil antri aplikasi aplikasi buruk,negative
bantu sayamaulate,neutral
kirim kode verifikasi butuh menit jaring bagus,positive
mudah bantu,positive
aplikasi ga sulit hidup,negative
mudah sngad bantu,positive
manfaat masyarakat indonesia,neutral
mantap aplikasiyah,positive
verifikasi sms lambat kirim,negative
aplikasia sngat bantu sya stiap brobat ambil no antri jdi mudah top,positive
bayar yabrobat mah tetep bayarmudahan mudah gratis,positive
aplikasi in bagus mudah layan masyarakat,positive
dgn jkn layan bpjs mudah kekntor cabangtrimakasih,positive
terbaikkkk,neutral
gk d update,neutral
layan bpjs bagus,positive
mantap cpt verifikasi,positive
orang awam sulit daftar periksa rawat jalan rs,negative
layan,neutral
so far oklah,neutral
login otp g aplikasi busuk,neutral
login lagidr dlu ga log outfinger print ga pake login dlucaptcha nya error ga baca,negative
mobil jkn mudah layan sehat masyarakat,positive
ulang masuk aplikasi nya boskami keluarga daftar langsung perpider daftar manualaplikasi eror,neutral
alhamdllh manfaat,neutral
lumayan manfaat,neutral
kode otp lu kemanainn woyy,neutral
bagus bantu mudah ambil antriantapi sekrg susah bgt sulit banget daftar nomer antri,neutral
aplikasi trouble,neutral
ribet,neutral
the best,neutral
layan klinik muas serta bpjs sehat,neutral
bantu masyarakat obat ribet antri,neutral
aplikasi mudah gunakanlebih fleksibelngak makan mudah,positive
mudah manfaat fasilitas layan,positive
aplikasi nya tingkat logout,neutral
update mulu tp aplikasi gak ubah daftar online paskes offline mulu proses,neutral
aplikasi ga susah verifikasi data pake wajah gagal nomor hp pulsa aplikasi susah,negative
aplikasi jks bagus,positive
aplikasi bantu kelancatan terang aja taspen,neutral
ambil antri faskes susahgak gampang iklan,neutral
nomor terima kode verifikasi mobile jkn,neutral
bantu medah fahami,neutral
guna mudah,positive
coba kasih bintang ya klo aplikasi bagus tamba,positive
serta y bug tulis tuju,neutral
bagusss bantu,neutral
aplikasi perintah lho tpi login aja susah nik bener password bener captcha bener tpi salah terossssssss udh gnti sandi nik udh bener bener lihat ktp captcha bnr tt gabisa masuk bnr harap,negative
bantu pilih faskes ambil nomor antri,neutral
akses aplikasi yg mudah paham terimakasih tri sehat,positive
log out sendirimasuk ulang tdk bs daftar barudaftar nik daftar,neutral
mudah obat terima kasih bpjs ubah faskes cepat mudah,positive
baguss aplikasi mudah guna,positive
susah masuk aplikasi,negative
susah login edit usul login perangkat,negative
mudah cepat praktis,positive
sy sdh daftar,neutral
verivikasi wajah susah ulang ulang,negative
tahun pakai mjkn lancar senang dg apk utk dftr rsu budi rahayu kalong ga jml kuota pasien jml yg dftr pikir pasien kuota menit kmdn sdh tulis penuh tp pasien yg kendala kira ya mohon tunjuk,neutral
coba apk nih ga login ulang trus masuk no orang apk gaje,neutral
bagus bagus,positive
susah masyarakat,negative
terima kasih bpjs kesehatanlayanan optimal cepat respons moga depan,positive
kelogout mulu data kaya ga save trus password salah dah bener,neutral
alhamdulillah akses online,neutral
aplikasi bug nya nomor daftar ngacak gak tau nomor,neutral
genggam,neutral
oke gak repot kantor bpjs sehat antre,neutral
jelek banget suka aplikasi bikin jengkel,neutral
bantu mudah daftar,positive
gimana sih aplikasi suka,positive
bantu masyarakat,neutral
aplikasi bagus error daftar online gak mohon baik,positive
ni login gagal aplikasi nya perintah kaya bakwan update aplikasi tolol,negative
trimakasih jln mudah daftar online trimakasih,positive
mudah pengoprasiannya,positive
mohon jelas logout simpan histori nik username login guna ulang input mohon tingkat,neutral
layan masyarakat yg sehat,neutral
hilang kis,neutral
layan cepat,positive
bantu bidang kesehatanpengobatan,neutral
udh ambil antri rsud gk surat rujuk mobile jkn nya rujuk udh mohon perhati ya,neutral
aplikasi tolong baik hasil ubah alamat yg cetak beda sy bingung baik sdh kantor eh ubah nambah bintang dgn mas yg samamohon periksa niat baik,positive
bantu dri pelosok indonesia,neutral
apktiba ngeblank udh uninstal ttp pas login msh ngeblank ribet aja,neutral
main lempar sistem ugd bilang atur dr bpjs ketat yg ancam nyawa cover bpjs via jkn jawabanya wewenang dokter yg periksa hadeeh pingsan pulang kerja jalan obat cepat tangan tolak pakai bpjs karna tensi suhu badan normal yg rasa sakit lambung uluhati pingsan gubris suruh puskesmas aja obat nya,positive
layan syukur,neutral
bagus segi uiux server lancar ayo semangat bantu masyarakat respect,positive
aplikasimurahan nya memeprmudah bikin susah tolong baik,neutral
otp sms jam sms ga kasih kode it nya mending ganti aja,neutral
aman terpecaya perintah daerah,neutral
gimana login ga captha error generate udah coba hp aja,negative
bantu ubah faskes ribet cepat,positive
aplikasi jelek banget udah kasih nik dn ps yg gak gak buka langsung akun susah masuk,negative
terima kode otp kode otp nomor hp muncul mohon baik bug terimakasih,positive
mudah an berkah,positive
aplikasi ga mateng kalo ga ya kasih vendor oke faskes suruh akses mobile jkn aplikasi bug section login logout ga login oerangkat,positive
aplikasi perintah tpi layan bgt daftar smpe sesi verifikasi no hp aja gabisa gada pesan otp masuk tolong benah,neutral
aplikasi najis ngelag banget jaring kenceng buka apk lancar apk doang yg najis ngelag bgt,neutral
bagus aplikasi nya,positive
maaf tolong tingkat kemarin masuk masuk,neutral
bagus layan online nya,positive
aplikasi mobile jkn bantu terimakasih,neutral
terimakasih bpjs manfaat,neutral
captcha loading login mohon developer baik panjang tagih iur bpjs,positive
bantu terima kasih apk jkn,neutral
bantu tks,neutral
logout otomatis jdi ga praktis udah mah ngerasain sakit aplikasi gabisa ajak kerjasama,neutral
cepat k kantor bpjs,positive
layan nya jelek rujuk aktif,negative
aplikasi rusakkk daftar aja susah ampun verifikasi otp nya gak kelar kelar,negative
aplikasi jaring eror mulu pdhl buka apl,neutral
apliaksi log out sendirireset sandi jg tdk masuk kode otp nya,neutral
,neutral
cuman yg aplikasi bikin sakit kepala,neutral
ribetudah ribet ngurusnyaga selesai,neutral
aplikasi gaje error,negative
manfaat cepat layan antri,positive
log out lupa password kode otp ga kirim kirim,neutral
aplikasi tolol ga nyusahin masyarakat aja daftar akun aja persusahin apus aja apk kalo susah orangmasa iya kode otp udh jam ga dapet mikir geh masyarakat tuh udh susah nambah susah,negative
mudah daftar online,positive
trimakasih jkn mobile mudah urus obat,positive
sipmembantu,neutral
aplikasi bantu mudah brobat,positive
bagus mudah,positive
captcha muncul reload coba agam hp jaring hasil,neutral
batu,neutral
mobil jkn guna,neutral
nggak dibukak udah persen,neutral
heran nyata kk gua doang yg jkn tambah istri daftar kalo daftar jkn ribet seribetnya udah,neutral
apknya bikin ribet nge cht admin ribet apasih apk kalo sya aja yg muda bigung sma apk gmna org tua yg gk paham teknologi admn rumah sakit jg ngantri jam jam dibuatin apk ribet gk efisien kalang,neutral
aplikasi jelek daftar priksa ndak offline kantor bpjs selesai layan bpjs aplikasi buruk jelek,negative
fitur yg gak menu bugar susah bgt singkronnya info sedia kamar gak singkron dg rumah sakit yg nyoba menu sos gak bgt trus menu ecomers fungsi aplikasi perintah kaya main,negative
kirim otp gagal ganti nomer kasih opsi kirim otp nomer telpon biar mudah guna,neutral
apk bosokkkk log out akun,neutral
fitur layan mudah serta,positive
moga depan,neutral
terimakasih mobile jkn bantu,neutral
manfaat,neutral
update data gagal layan cap tempe,negative
lihat nomor bpjs aja ribet kek pinjeman online ckckck apa an apk kek gin bikin ribet tinggal masukin nik doank susah knp video selfi kek pinjam online,negative
no comnt,neutral
aplikasi diupdate bug parah ni habis update captcha error sekali login ambil antre aja loading mpe subuhini aplikasi milik perintah kek sampah tolong,negative
aplikasi bagus banget manfaat,positive
kode otp sms login lupa password gagal proses,negative
bagus ga ribet,positive
mantaaappp,neutral
login captchanya loading daftar faskes kendala data data udh sesuai,neutral
assalamualaikum daftar serta nama anak gagal aplikasi data nya lengkap sesuai alamat kk,negative
masuk akun loading lambat sinyal bagus,neutral
aplikasi mudah daftar obat,positive
membabtu,neutral
aplikasi perintah error mulu login coba lagi minimal benerin kek,negative
layan mantap,positive
bagus udah daftar antre hilang gak ss,positive
kode otp susah dapat tolol apk nya,negative
proses cepat ringkas,positive
sukses slalu,neutral
uda masukin nik pasword x tetep salah nik uda bener ga ngerti,neutral
tolong baik aplikasi login captcha loading trs gak nongol gimna cek in kontrol dokter blm log in aplikasi parah aja,neutral
aplikasi tolol verif aja gak,neutral
batal daftar layan dokter praktek ganti gagal trs yatulisannya antre temu,negative
aplikasi log out error login banget yg urgent butuh ayo benar error kelas bpjs lot,negative
mebantu proses perubahn data cepatterimakasih,neutral
bantu aplikasi,neutral
mantap jaya,positive
kecewa bijak login dadtar auto debit aplikadinya hancur mudah,neutral
mudah reservasi layan,positive
otp nggak masuk udah nunggu,neutral
mantap mudah cepat,positive
kode otp gk nongol nongol verifikasi wajah gk nyambung haduh ribet apk asli pakai gk sih aplikasi,neutral
verifikasi nomor error terustolong baik bug nya,neutral
tanggal rekening alami bayar bpjs sehat kali tolong aplikasi baik,positive
apk pakai data seluler akses bagus jaring wifi parah aplikasi,neutral
jelek log uot jaring bagus,neutral
bagus aga ribet mula,positive
aplikasi gak daritadi login pakai nomor hp gak muncul kode otp nya gak aplikasi,neutral
jaga sehat sakit,neutral
ok cepat,positive
orang kaya gratis orang yg bayar iur,neutral
ga manfaat notif sms verifikasi lupa sandi muncul,neutral
aplikasi jelek update bagus aja hp kentang masuk nya gampang,neutral
ga buka ya,neutral
,neutral
kendala atas cepat,positive
woy min udah faskes mai antri pakak aplikasi ga nunjukin menu sdh antri online udah gtu ga ss bukti antri online nya,neutral
moga sehat,neutral
terimakasih moga,neutral
responsif,neutral
sengat bantu,neutral
pokok namah pianyingeun buka aplikasi kudu we asupkn sandi beres d pake geometri eweh geometri ge,neutral
bagus good respons,positive
sinyal,neutral
,neutral
sip daftar obat nya mudah,positive
kontrol ribet mikirin dftar jkn enk yg lngsung daftar gk ribet aq dr jm sampe stengah gagal makan,negative
aplikasi gak udah daftarin kk nya baca nya daftar disduk aplikasi pea,neutral
bermamfaat trimakasih,neutral
keren ihh ganti faskes aplikasi,neutral
susah,negative
sih aplikasi abis aupdate error hp deteksi root root gmn pdhl ngerti ngga root root an,negative
apk nyaa aneh cuman kpke pas d pke tiba udh logout gk msuk lgi pdahal udah bener sandi no nya tetep aja gk masukmasuk,negative
mudah akses sehat,positive
terima kasih yg sangkut moga amal yg yg terima allah,neutral
tolong tambah nomor hp,neutral
verifikasi wajah lepas kacamata ya mata minus gk baca instruksi kotak wajah warna hijau susah ampun kepala miring kanan kiri pake cermin balik sih bikin bingung udahlah gk responsif klo gk krn dompet jatuh gak aktivasi jkn,negative
tdk verifikasi via whatsapp via sms kartu halo tdk terima kode verifikasi terima sms naik limit,neutral
logout eror ga masuk uang nya doang layan eek,neutral
         ,neutral
cepat bagus,positive
mudah paham,positive
,neutral
sumpah daftar aja sulit bgt klo ganti no yg gak aktif link lgi darah gw lama,negative
nambah serta ndak rubah nomer nik tolong baik masuk bolak ganti sandi,positive
daftar online nya lemotttt,neutral
login capca angele pol ra,neutral
aplikasi kelola perintah ya sistem gak pake udh daftar sesuai pandu mw kirim otp no tlp sms sampe menit kode otp nya gak kirim,neutral
kode otp pulsa beban langgang kesini tdk tolong baik kode otp yg keluh diam,positive
aplikasi bantu daftar online,neutral
aplikasi perintah error orang pintar orang jujur gak,negative
aplikasi ruwet kerja update update buka ribut login ulang melulu udah instal biometrik anggap settingan on,neutral
gajelas,neutral
knp gabisa masuk ya gagal mulu pdhl udh bener,negative
susah verifikasi wa ga kirim ribet niat napa bikin aplikasi korup aja isi,negative
aplikasi masukin gimana sih,neutral
aplikasi mudah operasi,positive
suka masalah tolong baik,positive
aplikasi jelek ampas gw ubah pasword suruh verifikasi otp ga kirim kirim emang ampas banget aplikasi kalo emang ga sanggup ga sok pake aplikasi,negative
android mental aplikasi nya,neutral
bantu manfaat,neutral
cm ganti no hp nambah serta aja ribet,neutral
jkn resah masyarakat daftar antri gak sulit pakek aplikasi perbaikin resah otomatis daftar antri puskesmas langsung aplikasi perbaikin daftar antri puskesmas gak guna aplikasi buang memori kecewa sulit masyarat,negative
bgt login ulang paswordnya salah udh bener,neutral
log in susah install aplikasi mohon benah terimakasih,negative
aplikasi baik,positive
mudahdi akses,neutral
moga lancar,neutral
mantab,neutral
jkn mantap mudah,positive
aplikasi yg update cepat,positive
update data hilang tolong bpjs bayar iur nya maling uang keringat,neutral
susah verifikasibikin darah verifikasi pake wajah ribett,negative
aplikasi taii,neutral
sistem benerin woiii gua pagi nyoba registrasi kode verifikasi nya gak muncul muncul,neutral
trmks,neutral
bagus,positive
apk yg bagus bantu sehat keluarga,positive
lupa sandi ganti sandi nya pesan sms kode otp nya ga muncul muncul kirain hp ku masalah ga ulang berkalikali kirim pesan kote otp ga masuk tolong baik aplikasi sulit,negative
aplikasi bagus bnget jd mudah,positive
ganti developer aja bikin apk burik susah aja,negative
aplikasi down akses login bpjs pakai aplikasi bilang maaf offline,neutral
moga bpjs sehat keluarga manfaat dn proses ny gk ruwet ribetaplgi dh byar bulanjdi masyarakat terbantusukses bpjs,neutral
ribet atur bolak log in daftar udah log in verifikasi verifikasi nggak langsung trima bolak kaya orang kebelet,neutral
susah kali daftar nya salah rekam vidio kesel lh,negative
aplikasi membantuterimakasih moga layan bpjs,neutral
baik niat g sih,positive
aplikasi jelek ngebug autentifikasi login doang ribet banget kondisi darurat bintang ga benah,negative
kirim otp sangad lamaa udah minggu otp gak dapet dapet parah banget aplikasi gak bisadi suruh tetep bayarrr aelahhh mending gw batalim bpjs kek gin pakek kayak ngasi makan orang gak dapet,negative
aplikasi susah log in melulu udah masuk password gak wajib payah sial gw gak masuk,negative
apk nya bantu mantap,positive
ribetonline mudah sulit,neutral
susah verifikasi wajah,negative
bantu proses obat,neutral
aplikasi cacat jadul sulit doang ga ngirim otp pake wa pake sms aja jadull bgtt,negative
terimakasih bagus layanannyasangat bantu anak obat,positive
nik pakai orang tolong jelas,neutral
kecewa aplikasi jkn update gak tau aplikasi jkn panjang rujuk laku jalan rujuk udah daftar daftar online panjang surat rujuk rujuk jalan,negative
suka bantu,positive
helpful,neutral
oklah ya,neutral
makasih aplikasi bantu,neutral
terima kasih mobile jkn bantu,neutral
mantaptapi sayang terkadang beberap rs pakai antri jkn,neutral
gak daftar online baik lambat kayak gak uang aja baik aplikasi,positive
loading captcha login,neutral
cepat urus aplikasi,positive
terimakasih kasih perintah udah batu keluarga sukses bpjs,neutral
baik mudah,positive
mantap,positive
bug kode otp nda kirim,neutral
bantu thanks,neutral
sy gak ngerti progamer bikin apps daftar tp lupa password pencet lupa passmuncul nik salah gimana salahktp sy tlg sederhana sempurna apps,neutral
alhamdulillah gampang,neutral
alamat nya ubah alamat surat gk rubah komplain wa gk direspon buruk banget kualitas nya,negative
aplikasi jelek logout captcha muter ga masuk gimana improve kalo pegawai aja pake mandiri inhealth,negative
daftar kontrol terang penuh tolong jelas min,neutral
daftar muncul offline tolong bikin ribet,neutral
sangatt membantuu,neutral
captcha muncul login aplikasi repot akses aplikasi daftar layan sehat faskes online,negative
aplikasi perintah ga yg benertiap kali aplikasi tutup log out sendirimesti login ulanglogin ulang masukin captcha loading ga nomor captchanya,neutral
ganggu terang offline jaring aman minta proses mohon baik mudah daftar layan antri,positive
mantaap bantu,neutral
susah instal aplikasi kemarin terinstal gagal,negative
mudah akses tingkat layan semangat,positive
aplikasi lot trus baik antri nya aplikasi lot trus,positive
gampang mudah,positive
daftar akun jkn nmr kk nik data nya ancur th sy pecah kk tp akun data kk anak istri g,neutral
ya min ngga masukpadahal nik,neutral
fitur rekam wajah ga fungsi dgn sempurna verifikasi sulit ya apk segi syarat sdh oke,neutral
mohon utk apknya utk slalu informasi kait situasi butuh sehat yg betulbetul fasilitas yg pada sesuai perlu benerbener manfaat utk warga masyarakat yg perlu,neutral
aplikasi mobile jkn bantu layan,neutral
lumayan,neutral
mantap,positive
ok bantu,neutral
urus sehat jdi mudah,positive
gak daftar cuih,neutral
knapa logout error,negative
jkn mobile nya gk dibukasudah d uninstall gk masuk loading,neutral
aplikasi ampas susah banget daftar nya tinggal masukin kode otp nomor aja susah banget gk kirim kode otp nya,negative
